Nome,cargo.partido,pontuação inicial,presença,privilégios,participação,processos,outros,qualidade,pontuação
Cyro Miranda Gifford Júnior (Cyro Miranda),Senador - PSDB,200,Não disponível,25,0,0,10,-104,131
Otoniel Carlos de Lima (Otoniel Lima),Deputado Federal - PRB,200,40,0,0,-100,-20,12,132
Benedita Souza da Silva Sampaio (Benedita da Silva),Deputado Federal - PT,200,10,20,0,-125,20,11,136
Walter de Freitas Pinheiro (Walter Pinheiro),Senador - PT,200,Não disponível,25,10,0,10,-109,136
Camilo Cola (Camilo Cola),Deputado Federal - PMDB,200,-5,80,0,-50,-10,-78,137
João Ananias Vasconcélos Neto (João Ananias),Deputado Federal - PCdoB,200,-10,-10,0,0,10,-53,137
Luiz Sérgio Nóbrega de Oliveira (Luiz Sérgio),Deputado Federal - PT,200,5,10,0,0,10,-88,137
João José de Arruda Júnior (João Arruda),Deputado Federal - PMDB,200,50,10,0,-200,20,58,138
Paulo César da Guia Almeida (Dr. Paulo César),Deputado Federal - PR,200,-25,-30,0,-25,-10,28,138
Domingos Gomes de Aguiar Neto (Domingos Neto),Deputado Federal - PROS,200,15,20,0,-100,10,-6,139
Leopoldo Costa Meyer (Leopoldo Meyer),Deputado Federal - PSB,200,70,25,0,-100,0,-54,141
Luciano de Souza Castro (Luciano Castro),Deputado Federal - PR,200,-20,-25,0,0,-30,16,141
Luiz Roberto de Albuquerque (Beto Albuquerque),Deputado Federal - PSB,200,10,30,0,-50,20,-68,142
Ana Rita Esgario (Ana Rita),Senador - PT,200,Não disponível,5,0,0,20,-82,143
Edson Bez de Oliveira (Edinho Bez),Deputado Federal - PMDB,200,70,-50,0,-25,20,-71,144
Antônio Pinheiro Júnior (Toninho Pinheiro),Deputado Federal - PP,200,-10,15,10,-100,-20,50,145
Cesar Hanna Halum (César Halum),Deputado Federal - PRB,200,20,-5,0,-100,0,31,146
José Aníbal Peres de Pontes (José Aníbal),Deputado Federal - PSDB,200,-85,60,0,-100,-20,93,148
Jerônimo Pizzolotto Goergen (Jerônimo Goergen),Deputado Federal - PP,200,5,0,0,-100,10,34,149
Nelson Marquezelli (Nelson Marquezelli),Deputado Federal - PTB,200,55,-25,-10,-50,-10,-11,149
Lúcio Dutra Vale (Lúcio Vale),Deputado Federal - PR,200,30,-15,0,0,20,-85,150
Marcelo Viviani Gonçalves (Marcelo Matos),Deputado Federal - PDT,200,20,20,0,-75,10,-22,153
Adrian Mussi Ramos (Adrian),Deputado Federal - PMDB,200,-20,30,0,-100,10,35,155
João Durval Carneiro (João Durval),Senador - PDT,200,Não disponível,-55,-10,0,-20,42,157
Armando Vergílio Dos Santos Júnior (Armando Vergílio),Deputado Federal - SSD,200,-30,30,-10,-100,0,68,158
Benjamin Gomes Maranhão Neto (Benjamin Maranhão),Deputado Federal - SDD,200,20,10,0,-125,10,43,158
Carlos Mauro Cabral Benevides (Mauro Benevides),Deputado Federal - PMDB,200,80,-35,0,-25,0,-60,160
Fernando Dantas Ferro (Fernando Ferro),Deputado Federal - PT,200,45,-35,0,-25,10,-35,160
Gustavo Lemos Petta (Gustavo Petta),Deputado Federal - PCdoB,200,0,90,0,-125,0,-5,160
Hugo Napoleão do Rego Neto (Hugo Napoleão),Deputado Federal - PSD,200,20,5,0,-100,-20,55,160
Ana Amélia de Lemos (Ana Amélia),Senador - PP,200,Não disponível,60,10,0,20,-128,162
Mauro Ribeiro Lopes (Mauro Lopes),Deputado Federal - PMDB,200,-25,-25,0,0,10,2,162
Carlos Orleans Brandão Junior (Carlos Brandão),Deputado Federal - PSDB,200,45,-30,0,-100,0,48,163
José Almeida Lima (Almeida Lima),Deputado Federal - PMDB,200,-65,-25,0,0,0,53,163
Luci Teresinha Koswoski Choinacki (Luci Choinacki),Deputado Federal - PT,200,-25,0,0,0,10,-22,163
Renzo do Amaral Braz (Renzo Braz),Deputado Federal - PP,200,-40,25,0,0,0,-22,163
